(_da,x1,x2,x3)
0:(0,0,1,1)
1:(0,0,1,3)
2:(0,0,1,4)
3:(0,0,3,1)
4:(0,0,3,4)
5:(0,0,4,1)
6:(0,0,4,3)
7:(0,1,0,1)
8:(0,1,0,3)
9:(0,1,0,4)
10:(0,1,1,0)
11:(0,1,1,1)
12:(0,1,1,3)
13:(0,1,1,4)
14:(0,1,3,0)
15:(0,1,3,1)
16:(0,1,3,4)
17:(0,1,4,0)
18:(0,1,4,1)
19:(0,1,4,3)
20:(0,3,0,1)
21:(0,3,0,4)
22:(0,3,1,0)
23:(0,3,1,1)
24:(0,3,1,4)
25:(0,3,4,0)
26:(0,3,4,1)
27:(0,4,0,1)
28:(0,4,0,3)
29:(0,4,1,0)
30:(0,4,1,1)
31:(0,4,1,3)
32:(0,4,3,0)
33:(0,4,3,1)
34:(1,0,1,1)
35:(1,0,1,2)
36:(1,0,1,3)
37:(1,0,1,4)
38:(1,0,2,1)
39:(1,0,2,3)
40:(1,0,2,4)
41:(1,0,3,1)
42:(1,0,3,2)
43:(1,0,3,4)
44:(1,0,4,1)
45:(1,0,4,2)
46:(1,0,4,3)
47:(1,1,0,1)
48:(1,1,0,2)
49:(1,1,0,3)
50:(1,1,0,4)
51:(1,1,1,0)
52:(1,1,1,1)
53:(1,1,1,2)
54:(1,1,1,3)
55:(1,1,1,4)
56:(1,1,2,0)
57:(1,1,2,1)
58:(1,1,2,3)
59:(1,1,2,4)
60:(1,1,3,0)
61:(1,1,3,1)
62:(1,1,3,2)
63:(1,1,3,4)
64:(1,1,4,0)
65:(1,1,4,1)
66:(1,1,4,2)
67:(1,1,4,3)
68:(1,2,0,1)
69:(1,2,0,3)
70:(1,2,0,4)
71:(1,2,1,0)
72:(1,2,1,1)
73:(1,2,1,3)
74:(1,2,1,4)
75:(1,2,3,0)
76:(1,2,3,1)
77:(1,2,3,4)
78:(1,2,4,0)
79:(1,2,4,1)
80:(1,2,4,3)
81:(1,3,0,1)
82:(1,3,0,2)
83:(1,3,0,4)
84:(1,3,1,0)
85:(1,3,1,1)
86:(1,3,1,2)
87:(1,3,1,4)
88:(1,3,2,0)
89:(1,3,2,1)
90:(1,3,2,4)
91:(1,3,4,0)
92:(1,3,4,1)
93:(1,3,4,2)
94:(1,4,0,1)
95:(1,4,0,2)
96:(1,4,0,3)
97:(1,4,1,0)
98:(1,4,1,1)
99:(1,4,1,2)
100:(1,4,1,3)
101:(1,4,2,0)
102:(1,4,2,1)
103:(1,4,2,3)
104:(1,4,3,0)
105:(1,4,3,1)
106:(1,4,3,2)
